gene_id,CtlHIO_0,CtlHIO_1,CtlHIO_2,EcoliHIO_0,EcoliHIO_1,EcoliHIO_2,HIO_0,HIO_1,HIO_2,HuSI_Duo_A_0,HuSI_Duo_A_1,HuSI_Dist_A_0,HuSI_Dist_A_1,HuSI_Dist_A_2,HuSI_Dist_A_3,HuSI_F_0,HuSI_F_1,HuSI_F_2,HuSI_F_3,HuSI_F_4,HuSI_F_5
A1BG,2.5426,2.663,2.47475,6.78264,10.7354,7.83155,2.5991,2.60966,3.82926,1.03698,1.32304,0.910813,0.447656,0.253622,0.645193,0.111761,0.780208,0.254868,0.536313,0.224263,0.366862
A1BG-AS1,0.386795,0.388736,0.270783,0.238088,0.406832,0.342283,0.217789,0.227263,0.450793,0.346497,0.164223,0.313229,0.421903,0.136594,0.298733,0.0625288,0.368392,0.236275,0.253773,0.149812,0.388156
A1CF,2.98091,2.29802,2.68519,1.72752,1.17154,0.804841,6.27585,6.17901,4.36658,10.9798,14.9449,19.8149,11.0204,20.3965,12.7318,18.3,9.98215,18.1181,10.5614,19.1758,14.2715
A2M,75.9169,76.2653,106.472,167.886,90.5013,49.7424,147.593,156.166,78.6689,142.651,127.846,128.803,237.395,139.743,182.267,26.1913,51.1682,43.8371,46.6656,44.7014,48.5573
A2M-AS1,0.398793,0.894958,0.603349,0.550676,0.395136,0.535603,1.40257,1.21401,0.940531,0.708857,0.796992,0.468028,1.17022,0.464117,0.725284,0.672033,1.07343,1.01836,1.40848,0.665184,0.942519
A2ML1,0.0932259,0.0541411,0.0598978,0.0813834,0.0655657,0.0408612,0.0997297,0.0763043,0.1166,0,0,0,0,0,0.0801012,0.023185,0.167495,0.222224,0.175358,0.195539,0.133011
A2MP1,0,0,0,0.0488013,0,0,0.053241,0.0274425,0.0645146,0,0,0,0,0.536052,0.144797,0.0440578,0.528767,0.0570096,0.419874,0.0826226,0.0999
A4GALT,0.862504,1.68906,3.13606,1.73939,1.61858,4.44226,0.590586,0.681023,3.69597,8.0701,2.93302,1.9003,5.351,4.11202,4.19058,0.712157,2.31262,0.979169,1.65188,2.05221,0.989903
A4GNT,13.6911,6.28231,2.66263,19.5324,8.85092,2.03345,23.4495,25.8038,0.943999,4.67131,0.912949,0,0,0,0.091875,0.0169117,0.0696467,0.0181468,0.0297002,0.0262998,0.047699
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368552,0,0,0,0.0480125,0
