"gene","group","fpkm"
"A1CF","CtlHIO","2.98091"
"A1CF","CtlHIO","2.29802"
"A1CF","CtlHIO","2.68519"
"A1CF","EcoliHIO","1.72752"
"A1CF","EcoliHIO","1.17154"
"A1CF","EcoliHIO","0.804841"
"A1CF","HIO","6.27585"
"A1CF","HIO","6.17901"
"A1CF","HIO","4.36658"
"A1CF","HuSI_Duo_A","10.9798"
"A1CF","HuSI_Duo_A","14.9449"
"A1CF","HuSI_Dist_A","19.8149"
"A1CF","HuSI_Dist_A","11.0204"
"A1CF","HuSI_Dist_A","20.3965"
"A1CF","HuSI_Dist_A","12.7318"
"A1CF","HuSI_F","18.3"
"A1CF","HuSI_F","9.98215"
"A1CF","HuSI_F","18.1181"
"A1CF","HuSI_F","10.5614"
"A1CF","HuSI_F","19.1758"
"A1CF","HuSI_F","14.2715"
"AADAC","CtlHIO","10.4623"
"AADAC","CtlHIO","21.8962"
"AADAC","CtlHIO","16.6965"
"AADAC","EcoliHIO","12.3652"
"AADAC","EcoliHIO","3.18581"
"AADAC","EcoliHIO","7.10577"
"AADAC","HIO","44.946"
"AADAC","HIO","48.5694"
"AADAC","HIO","20.5748"
"AADAC","HuSI_Duo_A","148.665"
"AADAC","HuSI_Duo_A","199.508"
"AADAC","HuSI_Dist_A","236.099"
"AADAC","HuSI_Dist_A","207.221"
"AADAC","HuSI_Dist_A","170.411"
"AADAC","HuSI_Dist_A","157.201"
"AADAC","HuSI_F","43.3372"
"AADAC","HuSI_F","8.87306"
"AADAC","HuSI_F","134.153"
"AADAC","HuSI_F","2.7549"
"AADAC","HuSI_F","82.8249"
"AADAC","HuSI_F","97.657"
"AAGAB","CtlHIO","17.1065"
"AAGAB","CtlHIO","21.8425"
"AAGAB","CtlHIO","17.42"
"AAGAB","EcoliHIO","13.7704"
"AAGAB","EcoliHIO","13.6995"
"AAGAB","EcoliHIO","15.9338"
"AAGAB","HIO","20.6908"
"AAGAB","HIO","20.5785"
"AAGAB","HIO","18.8906"
"AAGAB","HuSI_Duo_A","12.6175"
"AAGAB","HuSI_Duo_A","12.8116"
"AAGAB","HuSI_Dist_A","10.3847"
"AAGAB","HuSI_Dist_A","12.7913"
"AAGAB","HuSI_Dist_A","15.3481"
"AAGAB","HuSI_Dist_A","17.1626"
"AAGAB","HuSI_F","9.92023"
"AAGAB","HuSI_F","10.8913"
"AAGAB","HuSI_F","13.246"
"AAGAB","HuSI_F","10.8815"
"AAGAB","HuSI_F","12.1035"
"AAGAB","HuSI_F","12.2803"
"AASS","CtlHIO","2.1164"
"AASS","CtlHIO","1.84947"
"AASS","CtlHIO","1.44527"
"AASS","EcoliHIO","0.680249"
"AASS","EcoliHIO","1.40329"
"AASS","EcoliHIO","0.982249"
"AASS","HIO","3.72236"
"AASS","HIO","3.88087"
"AASS","HIO","2.8426"
"AASS","HuSI_Duo_A","2.36558"
"AASS","HuSI_Duo_A","2.61273"
"AASS","HuSI_Dist_A","4.55165"
"AASS","HuSI_Dist_A","4.59892"
"AASS","HuSI_Dist_A","3.94905"
"AASS","HuSI_Dist_A","3.64565"
"AASS","HuSI_F","6.94433"
"AASS","HuSI_F","9.24444"
"AASS","HuSI_F","15.0447"
"AASS","HuSI_F","6.23795"
"AASS","HuSI_F","13.2999"
"AASS","HuSI_F","9.38029"
"AATK","CtlHIO","9.9341"
"AATK","CtlHIO","7.00239"
"AATK","CtlHIO","14.6509"
"AATK","EcoliHIO","6.59181"
"AATK","EcoliHIO","4.15436"
"AATK","EcoliHIO","2.88507"
"AATK","HIO","2.64535"
"AATK","HIO","2.54785"
"AATK","HIO","13.4746"
"AATK","HuSI_Duo_A","31.7732"
"AATK","HuSI_Duo_A","21.6676"
"AATK","HuSI_Dist_A","27.9996"
"AATK","HuSI_Dist_A","13.0814"
"AATK","HuSI_Dist_A","21.0652"
"AATK","HuSI_Dist_A","12.8961"
"AATK","HuSI_F","36.662"
"AATK","HuSI_F","18.6579"
"AATK","HuSI_F","18.4405"
"AATK","HuSI_F","21.1533"
"AATK","HuSI_F","16.9654"
"AATK","HuSI_F","16.0867"
"AACS","CtlHIO","20.6689"
"AACS","CtlHIO","22.382"
"AACS","CtlHIO","27.537"
"AACS","EcoliHIO","19.5478"
"AACS","EcoliHIO","20.1095"
"AACS","EcoliHIO","13.8759"
"AACS","HIO","23.7295"
"AACS","HIO","22.7215"
"AACS","HIO","14.5455"
"AACS","HuSI_Duo_A","27.551"
"AACS","HuSI_Duo_A","10.6654"
"AACS","HuSI_Dist_A","10.8026"
"AACS","HuSI_Dist_A","10.1763"
"AACS","HuSI_Dist_A","11.0707"
"AACS","HuSI_Dist_A","9.49216"
"AACS","HuSI_F","7.52156"
"AACS","HuSI_F","10.124"
"AACS","HuSI_F","7.88624"
"AACS","HuSI_F","13.2507"
"AACS","HuSI_F","7.94365"
"AACS","HuSI_F","6.30987"
