"gene","group","fpkm"
"OR4F5","ES","0"
"OR4F5","ES","0"
"OR4F5","ES","0"
"OR4F5","DefEnd","0"
"OR4F5","DefEnd","0"
"OR4F5","DefEnd","0"
"OR4F5","Lung_A","0"
"OR4F5","Lung_A","0"
"OR4F5","Lung_A","0"
"OR4F5","Lung_A","0"
"OR4F5","Lung_A","0"
"OR4F5","HLO","0"
"OR4F5","HLO","0"
"OR4F5","HLO","0"
"OR4F5","HLO","0"
"OR4F5","HLO","0"
"OR4F5","HLO","0"
"OR4F5","Lung_F","0"
"OR4F5","Lung_F","0"
"OR4F5","Lung_F","0"
"OR4F5","Lung_F","0"
"OR4F5","Lung_F","0"
"OR4F5","Lung_F","0"
"SAMD11","ES","0"
"SAMD11","ES","0"
"SAMD11","ES","0"
"SAMD11","DefEnd","142.329"
"SAMD11","DefEnd","30.8927"
"SAMD11","DefEnd","43.0457"
"SAMD11","Lung_A","40.7682"
"SAMD11","Lung_A","69.2319"
"SAMD11","Lung_A","83.8561"
"SAMD11","Lung_A","34.9882"
"SAMD11","Lung_A","97.7168"
"SAMD11","HLO","274.494"
"SAMD11","HLO","401.225"
"SAMD11","HLO","632.698"
"SAMD11","HLO","478.385"
"SAMD11","HLO","602.788"
"SAMD11","HLO","632.364"
"SAMD11","Lung_F","295.482"
"SAMD11","Lung_F","273.004"
"SAMD11","Lung_F","349.524"
"SAMD11","Lung_F","625.01"
"SAMD11","Lung_F","512.82"
"SAMD11","Lung_F","300.346"
"AJAP1","ES","105.317"
"AJAP1","ES","108.202"
"AJAP1","ES","105.336"
"AJAP1","DefEnd","373.461"
"AJAP1","DefEnd","377.333"
"AJAP1","DefEnd","355.127"
"AJAP1","Lung_A","11.9907"
"AJAP1","Lung_A","30.7698"
"AJAP1","Lung_A","27.952"
"AJAP1","Lung_A","15.3948"
"AJAP1","Lung_A","11.4961"
"AJAP1","HLO","160.289"
"AJAP1","HLO","117.615"
"AJAP1","HLO","53.8891"
"AJAP1","HLO","73.6694"
"AJAP1","HLO","96.9659"
"AJAP1","HLO","162.273"
"AJAP1","Lung_F","4.90019"
"AJAP1","Lung_F","10.7894"
"AJAP1","Lung_F","3.30519"
"AJAP1","Lung_F","3.19789"
"AJAP1","Lung_F","6.13421"
"AJAP1","Lung_F","4.03148"
"SKI","ES","1767.82"
"SKI","ES","1855.58"
"SKI","ES","1815.56"
"SKI","DefEnd","1645.9"
"SKI","DefEnd","1741.03"
"SKI","DefEnd","1890.94"
"SKI","Lung_A","2919.73"
"SKI","Lung_A","3192.36"
"SKI","Lung_A","3685.01"
"SKI","Lung_A","3112.55"
"SKI","Lung_A","2842.41"
"SKI","HLO","2461.1"
"SKI","HLO","2638.41"
"SKI","HLO","2787.26"
"SKI","HLO","3150.07"
"SKI","HLO","3032.93"
"SKI","HLO","2735.78"
"SKI","Lung_F","2432.46"
"SKI","Lung_F","2415.51"
"SKI","Lung_F","2995.74"
"SKI","Lung_F","3209.26"
"SKI","Lung_F","3382.4"
"SKI","Lung_F","3042.56"
"ESPN","ES","32.2399"
"ESPN","ES","43.6606"
"ESPN","ES","33.1393"
"ESPN","DefEnd","14.5978"
"ESPN","DefEnd","11.0331"
"ESPN","DefEnd","6.14939"
"ESPN","Lung_A","33.5738"
"ESPN","Lung_A","0"
"ESPN","Lung_A","32.6107"
"ESPN","Lung_A","81.1727"
"ESPN","Lung_A","17.2441"
"ESPN","HLO","405.396"
"ESPN","HLO","221.883"
"ESPN","HLO","361.257"
"ESPN","HLO","309.598"
"ESPN","HLO","378.867"
"ESPN","HLO","313.394"
"ESPN","Lung_F","14.7006"
"ESPN","Lung_F","9.48158"
"ESPN","Lung_F","18.5917"
"ESPN","Lung_F","17.0554"
"ESPN","Lung_F","17.5847"
"ESPN","Lung_F","18.1417"
"CNKSR1","ES","155.826"
"CNKSR1","ES","132.88"
"CNKSR1","ES","145.576"
"CNKSR1","DefEnd","358.863"
"CNKSR1","DefEnd","158.877"
"CNKSR1","DefEnd","159.884"
"CNKSR1","Lung_A","531.186"
"CNKSR1","Lung_A","400.007"
"CNKSR1","Lung_A","456.55"
"CNKSR1","Lung_A","621.391"
"CNKSR1","Lung_A","419.607"
"CNKSR1","HLO","62.7797"
"CNKSR1","HLO","43.3756"
"CNKSR1","HLO","27.9425"
"CNKSR1","HLO","36.3684"
"CNKSR1","HLO","34.9877"
"CNKSR1","HLO","68.5897"
"CNKSR1","Lung_F","261.18"
"CNKSR1","Lung_F","231.481"
"CNKSR1","Lung_F","205.748"
"CNKSR1","Lung_F","224.918"
"CNKSR1","Lung_F","281.765"
"CNKSR1","Lung_F","294.701"
