"","gene_short_name","ES_0","ES_2","ES_1","DefEnd_2","DefEnd_0","DefEnd_1","Lung_A_0","Lung_A_4","Lung_A_3","Lung_A_1","Lung_A_2","HLO_2","HLO_3","HLO_4","HLO_0","HLO_5","HLO_1","Lung_F_5","Lung_F_2","Lung_F_4","Lung_F_1","Lung_F_0","Lung_F_3","anova.p","anova.p.adj","Mean.DefEnd","Mean.ES","log2.DefEnd.ovr.ES","ttest.DefEnd.v.ES.p","ttest.DefEnd.v.ES.p.adj","Mean.Lung_A","Mean.Lung_F","log2.Lung_A.ovr.Lung_F","ttest.Lung_A.v.Lung_F.p","ttest.Lung_A.v.Lung_F.p.adj"
"AADACL3","AADACL3",21.4932,20.8812,27.2216,7.29891,0,19.9855,0,0,0,2.79906,0,0,0,0,0,0,0,1.96008,2.61561,2.47889,1.06596,2.45368,4.03148,3.88420366895403e-07,7.61303919114989e-05,9.09480333333333,23.1986666666667,-1.35092754307438,0.0845165868767754,0.209686721871493,0.559812,2.43428333333333,-2.12048277967541,0.0205009136487478,0.0405876674258036
"AADACL4","AADACL4",2.14932,0,3.55064,0,0,0,0,0,0,0,0,0,0.834147,0.997947,0.932524,0.999648,0.55764,0.980038,0.326951,0.413149,0.355321,1.22684,1.20945,0.00010536900376408,0.0206523247377597,0,1.89998666666667,-Inf,0.13957930817515,0.294167144111069,0,0.751958166666667,-Inf,0.00394606726325768,0.0108933687830776
"ACTL8","ACTL8",5.37331,18.0337,7.10128,1.21648,0,1.53735,0,0,0,0,0,0,0.834147,0,0,0,0.55764,0,0,0,0,0,0,0.0595622879521333,1,0.917943333333333,10.16943,-3.46968991204909,0.0813179226578731,0.204337344114656,0,0,NA,NA,NA
"ACTRT2","ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"AGRN","AGRN",519.062,532.47,530.229,1259.06,496.49,412.009,2464.08,2815.43,5324.86,3217.52,3764.97,7072.06,5666.36,5961.73,6181.7,7502.36,8990.83,4319.03,4843.45,5947.69,6565.63,8284.87,6779.34,1,1,722.519666666667,527.253666666667,0.454539634719487,0.508704434294277,0.778953665013112,3517.372,6123.335,-0.799819689709783,0.00912926794729967,0.0208062385775667
"AGTRAP","AGTRAP",130.034,132.88,121.905,226.266,70.6119,59.9565,571.954,930.785,736.07,561.211,698.388,243.104,232.727,396.185,386.997,429.849,282.723,203.848,196.498,187.57,219.944,188.934,204.799,5.58089347101941e-08,1.0938551203198e-05,118.9448,128.273,-0.108925329821654,0.870884681695545,1,699.6816,200.2655,1.80478464503331,1.80820046790585e-05,0.000141762916683819
"AJAP1","AJAP1",105.317,108.202,105.336,373.461,377.333,355.127,11.9907,30.7698,27.952,15.3948,11.4961,160.289,117.615,53.8891,73.6694,96.9659,162.273,4.90019,10.7894,3.30519,3.19789,6.13421,4.03148,0.0246729276823487,1,368.640333333333,106.285,1.79427592270059,2.88279635477219e-06,0.000282514042767675,19.52068,5.39306,1.85582732022122,0.00569209937320422,0.0139456434643503
"ALPL","ALPL",2121.38,1992.25,2090.14,2085.05,1370.31,1342.1,1935.29,3538.52,3927.26,2778.07,2373.94,113.538,207.703,147.696,170.652,203.928,208,20.5808,40.8689,24.7889,30.2023,33.9426,20.1574,0.0203364895173516,1,1599.15333333333,2067.92333333333,-0.370874422909864,0.129609780350999,0.291994447687309,2910.616,28.4234833333333,6.67809733633612,1.11071975580273e-05,0.000114579511651229
"ANGPTL7","ANGPTL7",1.07466,0.949144,0,3.64945,4.41325,1.53735,37.171,92.3093,60.5627,33.5887,132.205,2.00361,6.67317,7.98357,6.52767,4.99824,5.01876,1.47006,1.3078,0.826298,1.06596,2.86263,2.82204,1,1,3.20001666666667,0.674601333333333,2.24597234420615,0.0523635073494363,0.146796943706094,71.16734,1.725798,5.36587979785327,0.00246705287501377,0.00755534942972968
"APITD1,APITD1-CORT,CORT","APITD1,APITD1-CORT,CORT",210.634,267.659,228.425,228.699,275.828,298.245,183.457,130.771,186.347,282.705,250.04,260.469,276.103,327.326,238.726,324.886,262.091,146.026,167.072,167.739,146.392,165.215,151.987,1,1,267.590666666667,235.572666666667,0.183855642916436,0.293956196950505,0.519057789209901,206.664,157.405166666667,0.392804202598547,0.0767740870761884,0.128613000572076
